"ID" "Region" "Type" "Afterschool" "Afterschool_time" "Tutoring_time" "Tutoring_amount" "Korean" "English" "Mathematics" "Computer" "Sex" "Nchildren" "Income" "Major"
159 3 1 2 0 0 0 0 0 0 0 1 2 4 3
160 4 2 2 0 4 176.539488 0 0 0 0 1 2 5 9
161 2 1 2 0 9 455.746636 215.879985 0 239.86665 0 1 2 8 11
162 3 2 2 0 3 176.539488 0 176.539488 0 0 2 1 4 1
163 3 2 2 0 0 0 0 0 0 0 1 2 3 9
164 2 1 2 0 7.666667 1719.044328 0 0 359.799976 0 2 4 6 4
165 2 1 2 0 12.666667 1184.776122 211.847386 470.771969 451.15647 0 2 2 5 9
166 2 2 1 5.666667 0 0 0 0 0 0 1 2 2 3
167 3 1 1 6.333333 4 647.311458 0 294.232481 353.078977 0 2 2 1 9
168 2 1 1 10.666667 6 859.158844 0 270.693882 588.464961 0 1 2 5 9
169 3 1 2 0 0 0 0 0 0 0 2 4 3 4
170 2 2 2 0 0 0 0 0 0 0 1 3 2 9
171 1 2 2 0 0 0 0 0 0 0 2 2 3 11
172 3 1 2 0 0 0 0 0 0 0 1 1 3 3
173 3 1 1 5 0 0 0 0 0 0 1 2 2 3
174 1 1 2 0 10 755.579949 0 275.846648 479.733301 0 1 3 7 2
175 3 1 1 4 4 239.86665 0 0 239.86665 0 2 2 4 11
176 2 1 2 0 10 411.925473 0 294.232481 58.846496 0 1 3 6 9
177 2 1 2 0 0 0 0 0 0 0 1 2 2 3
178 4 1 2 0 1 156.92399 0 0 0 0 2 3 1 11
179 3 1 1 1.666667 12 58.846496 0 0 29.423248 0 2 2 2 7
180 3 1 1 3.333333 6 612.00356 0 317.771079 294.232481 0 1 1 5 11
181 4 1 2 0 0 0 0 0 0 0 2 2 5 1
182 1 1 2 0 17.333333 1604.547795 294.232481 400.156174 470.771969 0 1 2 5 9
183 3 1 2 0 20 529.618465 0 0 0 0 1 3 3 4
184 3 1 1 7.333333 4 353.078977 0 0 353.078977 0 2 2 3 5
185 2 2 1 10.666667 0 0 0 0 0 0 1 2 8 9
186 2 1 1 3.333333 0 0 0 0 0 0 1 2 5 9
187 2 1 1 10 5 503.719966 0 251.859983 251.859983 0 2 3 5 1
188 4 1 1 5 0 0 0 0 0 0 2 2 1 4
189 4 1 1 5.333333 0 0 0 0 0 0 1 3 5 4
190 3 1 2 0 5 239.86665 0 0 0 0 2 1 3 4
191 3 1 1 2 0 0 0 0 0 0 1 2 3 9
192 4 2 1 4 0 0 0 0 0 0 2 3 4 4
193 3 1 2 0 8 282.463181 94.154394 94.154394 94.154394 0 1 2 7 9
194 2 1 2 0 0 0 0 0 0 0 2 2 8 10
195 3 2 2 0 21.333333 765.00445 176.539488 176.539488 176.539488 0 2 2 7 2
196 2 1 1 8 2 119.933325 0 0 0 0 2 2 7 4
197 3 1 1 2.333333 10 719.599951 239.86665 239.86665 239.86665 0 1 3 5 9
198 1 2 2 0 0 0 0 0 0 0 2 2 2 4
199 2 1 2 0 20 647.311458 0 294.232481 353.078977 0 2 2 5 7
200 4 1 1 2 0 0 0 0 0 0 1 2 1 8
201 3 2 2 0 0 0 0 0 0 0 1 2 3 3
202 2 1 1 3 0 0 0 0 0 0 1 2 5 11
203 3 1 1 3 0 0 0 0 0 0 1 2 3 11
204 4 1 2 0 0 0 0 0 0 0 2 1 1 9
205 4 1 1 8.666667 0 0 0 0 0 0 1 2 5 9
206 4 1 1 0.666667 18.666667 1804.625882 0 353.078977 353.078977 0 2 1 5 4
207 3 1 1 5 0 0 0 0 0 0 2 3 1 2
208 3 2 1 8 2 141.231591 0 47.077197 0 0 1 2 2 9
209 3 1 1 7.666667 14.666667 989.782318 239.86665 359.799976 359.799976 0 2 2 5 4
210 3 1 2 0 15 1439.199903 0 479.733301 479.733301 0 1 2 8 1
211 1 1 1 4 2.666667 191.89332 0 0 191.89332 0 1 3 2 6
212 2 2 1 8.333333 0 0 0 0 0 0 2 2 1 9
213 1 1 1 1.333333 9 776.773749 388.386875 0 388.386875 0 1 3 3 5
214 4 2 1 8.666667 0 0 0 0 0 0 1 2 2 9
215 3 1 2 0 5 575.679961 0 0 575.679961 0 2 2 7 5
216 3 1 1 3 5 287.839981 0 143.91999 143.91999 0 2 2 3 10
217 4 1 2 0 0 0 0 0 0 0 2 2 3 2
218 1 1 1 1.333333 5 1079.399927 0 0 0 0 1 3 4 3
219 2 1 1 4.666667 4 588.464961 0 235.385985 353.078977 0 1 1 3 7
220 2 1 1 1.333333 0 0 0 0 0 0 1 2 4 10
221 2 1 2 0 10 599.666626 0 299.833313 299.833313 0 1 1 2 11
222 1 1 2 0 5.333333 1023.929033 282.463181 282.463181 282.463181 0 2 2 5 9
223 4 1 2 0 0 0 0 0 0 0 2 2 4 6
224 3 1 2 0 15 588.464961 0 294.232481 294.232481 0 1 2 5 7
225 4 1 1 1 2.666667 151.915545 0 75.957773 75.957773 0 2 2 8 11
226 4 1 1 9.666667 0 0 0 0 0 0 1 3 5 2
227 3 2 2 0 0 0 0 0 0 0 2 3 4 8
228 2 1 1 1.333333 10 1035.698332 294.232481 270.693882 294.232481 0 1 2 8 6
229 4 2 1 2.666667 0 0 0 0 0 0 1 2 7 9
230 2 1 2 0 0 0 0 0 0 0 2 2 7 6
231 4 1 1 6 6 599.666626 0 299.833313 299.833313 0 1 2 7 11
232 4 1 2 0 0 0 0 0 0 0 1 1 2 8
233 3 1 1 2.333333 1 948.605518 316.986459 315.809529 315.809529 0 1 3 8 10
234 2 1 1 1 0 0 0 0 0 0 1 2 5 6
235 3 1 2 0 9 955.468824 263.853315 307.828868 383.786641 0 1 3 3 7
236 3 2 1 1.666667 15 435.464071 0 235.385985 200.078087 0 2 3 3 11
237 3 1 2 0 16 1008.236634 282.463181 353.078977 372.694476 0 1 1 7 9
238 2 2 1 6 0 0 0 0 0 0 1 7 3 9
239 4 1 1 1 8 470.771969 0 470.771969 0 0 2 5 2 1
240 4 2 2 0 10.666667 1176.929923 0 0 0 0 1 3 8 4
241 4 1 2 0 3 706.157954 0 353.078977 353.078977 0 2 3 5 11
242 4 1 1 5 0 0 0 0 0 0 2 2 2 5
243 3 1 1 6.666667 0 0 0 0 0 0 2 3 2 5
